Filename: ./gitclone/tiny-imagenet-200/test/images/test_1.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_1_resized_.JPEG, Error: 0, Operation Time: 168.653281ms, Latency: 338.500199ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_8.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_8_resized_.JPEG, Error: 0, Operation Time: 154.695183ms, Latency: 484.7617ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_19.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_19_resized_.JPEG, Error: 0, Operation Time: 199.884897ms, Latency: 344.098428ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_26.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_26_resized_.JPEG, Error: 0, Operation Time: 76.581167ms, Latency: 487.268244ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_32.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_32_resized_.JPEG, Error: 0, Operation Time: 201.43137ms, Latency: 392.230385ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_38.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_38_resized_.JPEG, Error: 0, Operation Time: 171.40584ms, Latency: 378.581559ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_46.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_46_resized_.JPEG, Error: 0, Operation Time: 122.710189ms, Latency: 298.946847ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_54.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_54_resized_.JPEG, Error: 0, Operation Time: 139.751538ms, Latency: 233.906901ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_64.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_64_resized_.JPEG, Error: 0, Operation Time: 56.525929ms, Latency: 146.253892ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_72.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_72_resized_.JPEG, Error: 0, Operation Time: 109.962598ms, Latency: 259.168673ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_80.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_80_resized_.JPEG, Error: 0, Operation Time: 109.489751ms, Latency: 188.049438ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_86.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_86_resized_.JPEG, Error: 0, Operation Time: 70.000848ms, Latency: 186.478333ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_93.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_93_resized_.JPEG, Error: 0, Operation Time: 118.122416ms, Latency: 213.31968ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_100.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_100_resized_.JPEG, Error: 0, Operation Time: 63.230879ms, Latency: 182.057613ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_109.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_109_resized_.JPEG, Error: 0, Operation Time: 114.93974ms, Latency: 241.581269ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_119.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_119_resized_.JPEG, Error: 0, Operation Time: 94.859055ms, Latency: 174.141241ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_126.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_126_resized_.JPEG, Error: 0, Operation Time: 81.553216ms, Latency: 255.976909ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_134.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_134_resized_.JPEG, Error: 0, Operation Time: 97.980005ms, Latency: 199.663032ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_142.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_142_resized_.JPEG, Error: 0, Operation Time: 58.363792ms, Latency: 208.043481ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_150.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_150_resized_.JPEG, Error: 0, Operation Time: 71.56859ms, Latency: 145.897616ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_156.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_156_resized_.JPEG, Error: 0, Operation Time: 66.921817ms, Latency: 182.272776ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_160.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_160_resized_.JPEG, Error: 0, Operation Time: 66.31318ms, Latency: 148.663547ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_169.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_169_resized_.JPEG, Error: 0, Operation Time: 87.094097ms, Latency: 205.977212ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_178.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_178_resized_.JPEG, Error: 0, Operation Time: 60.465963ms, Latency: 210.890309ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_185.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_185_resized_.JPEG, Error: 0, Operation Time: 91.456201ms, Latency: 203.758308ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_192.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_192_resized_.JPEG, Error: 0, Operation Time: 84.951354ms, Latency: 186.170177ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_199.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_199_resized_.JPEG, Error: 0, Operation Time: 67.834583ms, Latency: 154.120719ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_208.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_208_resized_.JPEG, Error: 0, Operation Time: 123.114303ms, Latency: 258.481398ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_216.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_216_resized_.JPEG, Error: 0, Operation Time: 80.646768ms, Latency: 199.304776ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_223.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_223_resized_.JPEG, Error: 0, Operation Time: 118.611282ms, Latency: 251.259825ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_234.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_234_resized_.JPEG, Error: 0, Operation Time: 121.931518ms, Latency: 229.583552ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_242.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_242_resized_.JPEG, Error: 0, Operation Time: 130.042172ms, Latency: 269.251793ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_249.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_249_resized_.JPEG, Error: 0, Operation Time: 93.408305ms, Latency: 180.149592ms
