Filename: ./gitclone/tiny-imagenet-200/test/images/test_0.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_0_resized_.JPEG, Error: 0, Operation Time: 90.881608ms, Latency: 405.762609ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_4.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_4_resized_.JPEG, Error: 0, Operation Time: 47.913448ms, Latency: 191.288136ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_8.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_8_resized_.JPEG, Error: 0, Operation Time: 47.796344ms, Latency: 146.747856ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_12.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_12_resized_.JPEG, Error: 0, Operation Time: 126.366589ms, Latency: 248.684696ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_16.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_16_resized_.JPEG, Error: 0, Operation Time: 176.068501ms, Latency: 471.652536ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_20.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_20_resized_.JPEG, Error: 0, Operation Time: 200.996167ms, Latency: 500.484627ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_24.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_24_resized_.JPEG, Error: 0, Operation Time: 134.896608ms, Latency: 333.36455ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_28.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_28_resized_.JPEG, Error: 0, Operation Time: 159.840794ms, Latency: 324.59954ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_33.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_33_resized_.JPEG, Error: 0, Operation Time: 52.078389ms, Latency: 150.7452ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_36.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_36_resized_.JPEG, Error: 0, Operation Time: 51.118558ms, Latency: 133.298948ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_39.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_39_resized_.JPEG, Error: 0, Operation Time: 76.61271ms, Latency: 136.667845ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_43.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_43_resized_.JPEG, Error: 0, Operation Time: 65.248296ms, Latency: 175.142854ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_47.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_47_resized_.JPEG, Error: 0, Operation Time: 30.954702ms, Latency: 145.424136ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_51.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_51_resized_.JPEG, Error: 0, Operation Time: 44.062064ms, Latency: 142.918197ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_55.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_55_resized_.JPEG, Error: 0, Operation Time: 76.002359ms, Latency: 180.491624ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_59.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_59_resized_.JPEG, Error: 0, Operation Time: 124.289459ms, Latency: 207.143218ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_64.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_64_resized_.JPEG, Error: 0, Operation Time: 72.124949ms, Latency: 166.180727ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_68.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_68_resized_.JPEG, Error: 0, Operation Time: 67.547735ms, Latency: 222.591908ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_72.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_72_resized_.JPEG, Error: 0, Operation Time: 67.999269ms, Latency: 158.691491ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_76.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_76_resized_.JPEG, Error: 0, Operation Time: 51.014083ms, Latency: 158.56946ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_80.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_80_resized_.JPEG, Error: 0, Operation Time: 89.61841ms, Latency: 200.575046ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_85.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_85_resized_.JPEG, Error: 0, Operation Time: 100.789894ms, Latency: 199.450358ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_88.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_88_resized_.JPEG, Error: 0, Operation Time: 73.572539ms, Latency: 133.559603ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_92.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_92_resized_.JPEG, Error: 0, Operation Time: 67.641357ms, Latency: 191.789062ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_97.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_97_resized_.JPEG, Error: 0, Operation Time: 51.983785ms, Latency: 154.154317ms
