Filename: ./gitclone/tiny-imagenet-200/test/images/test_5.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_5_resized_.JPEG, Error: 0, Operation Time: 50.109164ms, Latency: 321.896726ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_23.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_23_resized_.JPEG, Error: 0, Operation Time: 365.68933ms, Latency: 542.771542ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_53.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_53_resized_.JPEG, Error: 0, Operation Time: 474.396196ms, Latency: 752.521589ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_73.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_73_resized_.JPEG, Error: 0, Operation Time: 277.815649ms, Latency: 475.713704ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_93.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_93_resized_.JPEG, Error: 0, Operation Time: 404.810134ms, Latency: 498.904703ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_115.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_115_resized_.JPEG, Error: 0, Operation Time: 405.993769ms, Latency: 509.471305ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_134.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_134_resized_.JPEG, Error: 0, Operation Time: 566.256266ms, Latency: 866.438874ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_154.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_154_resized_.JPEG, Error: 0, Operation Time: 1.502695534s, Latency: 2.431574509s
Filename: ./gitclone/tiny-imagenet-200/test/images/test_168.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_168_resized_.JPEG, Error: 0, Operation Time: 890.244055ms, Latency: 1.185864896s
Filename: ./gitclone/tiny-imagenet-200/test/images/test_188.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_188_resized_.JPEG, Error: 0, Operation Time: 337.159017ms, Latency: 597.854335ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_210.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_210_resized_.JPEG, Error: 0, Operation Time: 289.563047ms, Latency: 504.972607ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_233.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_233_resized_.JPEG, Error: 0, Operation Time: 243.09602ms, Latency: 528.42836ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_253.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_253_resized_.JPEG, Error: 0, Operation Time: 227.065899ms, Latency: 431.248713ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_272.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_272_resized_.JPEG, Error: 0, Operation Time: 216.997121ms, Latency: 416.744938ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_287.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_287_resized_.JPEG, Error: 0, Operation Time: 275.469781ms, Latency: 502.386283ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_308.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_308_resized_.JPEG, Error: 0, Operation Time: 351.707001ms, Latency: 616.408631ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_328.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_328_resized_.JPEG, Error: 0, Operation Time: 185.121932ms, Latency: 411.904533ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_347.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_347_resized_.JPEG, Error: 0, Operation Time: 278.420161ms, Latency: 387.965024ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_365.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_365_resized_.JPEG, Error: 0, Operation Time: 231.987549ms, Latency: 395.534233ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_380.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_380_resized_.JPEG, Error: 0, Operation Time: 177.130504ms, Latency: 320.771127ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_398.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_398_resized_.JPEG, Error: 0, Operation Time: 331.493533ms, Latency: 609.79417ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_417.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_417_resized_.JPEG, Error: 0, Operation Time: 283.622749ms, Latency: 483.759109ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_440.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_440_resized_.JPEG, Error: 0, Operation Time: 345.979948ms, Latency: 524.934939ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_460.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_460_resized_.JPEG, Error: 0, Operation Time: 267.916645ms, Latency: 444.076929ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_478.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_478_resized_.JPEG, Error: 0, Operation Time: 349.196766ms, Latency: 687.83773ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_501.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_501_resized_.JPEG, Error: 0, Operation Time: 162.264533ms, Latency: 335.170794ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_520.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_520_resized_.JPEG, Error: 0, Operation Time: 216.929762ms, Latency: 391.684092ms
Filename: ./gitclone/tiny-imagenet-200/test/images/test_536.JPEG, Store Filename: ./gitclone/tiny-imagenet-200/test/images/test_536_resized_.JPEG, Error: 0, Operation Time: 192.250537ms, Latency: 299.12702ms
